,Location,Date_Time,Temperature_C
0,San Diego,2024-01-14 21:12:46,10.683001094715388
1,San Diego,2024-05-17 15:22:10,8.734139782353598
2,San Diego,2024-05-11 09:30:59,11.632436312930883
3,Philadelphia,2024-02-26 17:32:39,-8.62897589569391
4,San Antonio,2024-04-29 13:23:51,39.8082129746316
5,San Diego,2024-01-21 08:54:56,27.341054869123997
6,San Jose,2024-01-13 02:10:54,1.881883367968177
7,New York,2024-01-25 19:04:34,-6.894765540954558
8,New York,2024-03-29 05:20:30,0.9635448943544382
9,San Jose,2024-05-18 09:14:02,-1.6070880384255215
10,New York,2024-03-04 13:47:15,35.14555906501712
11,Houston,2024-03-07 22:03:36,15.816763568100589
12,Dallas,2024-02-27 21:07:10,32.016897607941914
13,Houston,2024-05-09 00:53:10,38.64126926406863
14,Houston,2024-05-12 15:57:55,39.66677191836734
15,Philadelphia,2024-03-09 01:51:24,28.290114688292803
16,San Antonio,2024-02-10 15:05:28,16.349789500368708
17,Chicago,2024-01-06 02:59:46,26.78681109139223
18,San Antonio,2024-05-08 16:20:53,35.179547637905685
19,San Diego,2024-01-31 05:38:46,14.605819227647064
20,San Diego,2024-01-25 12:59:32,33.02335071647172
21,New York,2024-02-19 12:26:07,-7.383810968998663
22,San Antonio,2024-02-14 04:43:05,30.73968441192521
23,San Jose,2024-04-22 03:13:26,34.53965432610343
24,Houston,2024-01-11 02:53:59,-5.23630043714083
25,San Jose,2024-03-05 21:38:36,-1.7332000562731906
26,San Diego,2024-03-27 10:44:36,24.31272428565145
27,San Antonio,2024-02-08 20:45:03,3.0179508358924885
28,New York,2024-01-04 21:41:10,14.568327961896596
29,Los Angeles,2024-02-15 20:47:24,-2.409511389244048
30,New York,2024-02-02 02:17:13,-2.8620631459722787
31,Dallas,2024-02-22 14:16:18,12.865779477378409
32,Chicago,2024-04-16 00:07:29,17.587820198810913
33,Houston,2024-02-29 23:17:01,7.63037682806306
34,Philadelphia,2024-04-20 09:34:59,0.3513732574871788
35,Dallas,2024-03-22 02:34:26,17.439494910085937
36,Philadelphia,2024-03-16 23:47:55,23.405680835584207
37,Phoenix,2024-01-29 07:08:28,1.5126267854927455
38,Chicago,2024-04-01 03:12:48,-2.562659564252881
39,New York,2024-04-21 10:17:28,8.863085501621878
40,Dallas,2024-04-03 22:07:55,6.51428359633557
41,New York,2024-02-19 19:53:31,38.54553445508572
42,Philadelphia,2024-05-18 02:32:21,-2.015243206241837
43,San Diego,2024-01-24 12:04:12,-6.853765398095199
44,San Diego,2024-03-03 11:02:14,35.666564603431475
45,Chicago,2024-04-03 12:07:38,7.166149704623312
46,Phoenix,2024-03-24 22:44:11,34.45364756018925
47,Chicago,2024-04-05 13:22:42,38.3862332590312
48,Philadelphia,2024-03-26 12:45:39,7.106603067429777
49,San Jose,2024-05-08 20:16:57,35.09744038143385
50,San Diego,2024-02-10 22:46:21,-5.8558237543535085
51,Phoenix,2024-03-31 18:02:37,4.644342012817502
52,San Antonio,2024-03-15 00:09:26,25.81876555515251
53,New York,2024-03-27 22:42:17,-0.0719821207166546
54,New York,2024-02-19 22:13:16,19.49970412322616
55,Philadelphia,2024-03-15 01:56:40,23.03489274746097
56,San Antonio,2024-01-18 02:56:20,28.564152794528965
57,Chicago,2024-01-25 08:21:22,8.708564974702668
58,San Jose,2024-02-11 04:20:02,39.68529995692247
59,San Antonio,2024-01-10 14:19:31,38.4747494282275
60,Dallas,2024-05-06 17:55:33,-5.378187061170899
61,Houston,2024-02-17 19:00:39,36.97609043534906
62,Los Angeles,2024-02-05 12:16:34,30.72841714228825
63,Chicago,2024-03-05 19:08:19,-2.584092066801304
64,Los Angeles,2024-02-06 19:02:21,31.730566759170458
65,San Jose,2024-02-27 23:17:08,34.882562153866
66,New York,2024-03-16 08:16:23,30.70803958488719
67,New York,2024-05-04 06:50:04,6.926827237536962
68,New York,2024-02-16 04:53:42,35.45401366040336
69,San Antonio,2024-04-13 01:17:16,35.20538643572596
70,Los Angeles,2024-01-06 19:12:46,33.335416539565884
71,San Antonio,2024-03-05 22:47:00,33.313038229235765
72,San Jose,2024-01-18 07:59:09,32.77500795274025
73,Dallas,2024-01-15 12:05:00,-2.994002145606358
74,San Antonio,2024-03-13 22:42:03,18.25073612073336
75,Dallas,2024-04-15 13:57:07,-8.956553012686715
76,Chicago,2024-01-22 01:57:10,15.80199893195277
77,Houston,2024-04-04 23:04:10,20.320756707851935
78,Philadelphia,2024-04-25 01:43:53,-5.129359587366746
79,Los Angeles,2024-05-17 09:13:01,-3.089434137692084
80,Houston,2024-02-17 18:32:10,32.60828833588853
81,Dallas,2024-02-17 00:26:18,13.234321072222546
82,Houston,2024-03-06 21:37:08,37.51556043900003
83,Los Angeles,2024-05-05 12:20:50,29.292222427160183
84,San Diego,2024-02-02 10:25:50,38.19855791211762
85,Phoenix,2024-04-30 06:09:27,1.1748590179519152
86,Los Angeles,2024-04-03 08:14:36,-3.997637249515092
87,Philadelphia,2024-01-28 04:20:21,1.2618719737781152
88,Philadelphia,2024-05-10 11:49:48,20.952918048525863
89,Houston,2024-04-16 20:54:49,24.26456868286712
90,Houston,2024-04-16 13:05:15,29.866898957278607
91,San Jose,2024-01-22 20:21:51,10.098394636782263
92,San Antonio,2024-01-05 03:41:22,34.36168343052322
93,San Diego,2024-02-24 16:53:49,-8.248509048423882
94,San Diego,2024-04-18 04:13:11,0.3280063717189723
95,San Jose,2024-02-26 05:58:53,15.808754461465906
96,San Diego,2024-03-10 06:11:19,18.522540618042104
97,Phoenix,2024-03-15 01:15:24,-6.0956293165090845
98,Houston,2024-02-17 09:34:47,16.94164686216356
99,Chicago,2024-04-10 21:27:42,2.68943120711295
